Player,Pos,School,Round,updated_round,Drafted,Year,qb_stats_clean1.G,qb_stats_clean1.Cmp,qb_stats_clean1.Att,qb_stats_clean1.Yds,qb_stats_clean1.TD,qb_stats_clean1.Int
Steven Montez,QB,Colorado,,0,0,2020,12,255,405,2808,17,10
Jake Luton,QB,Oregon State,6,6,1,2020,11,222,358,2714,28,3
James Morgan,QB,Florida International,4,4,1,2020,13,207,357,2560,14,5
Kelly Bryant,QB,Missouri,,0,0,2020,10,181,292,2215,15,6
Dwayne Haskins,QB,Ohio State,1,1,1,2019,14,373,533,4831,50,8
Gardner Minshew,QB,Washington State,6,6,1,2019,13,468,662,4779,38,9
Kyler Murray,QB,Oklahoma,1,1,1,2019,14,260,377,4361,42,7
Ryan Finley,QB,North Carolina State,4,4,1,2019,13,326,484,3928,25,11
Jordan Ta'amu,QB,Mississippi,,0,0,2019,12,266,418,3918,19,8
Will Grier,QB,West Virginia,3,3,1,2019,11,266,397,3864,37,8
Brett Rypien,QB,Boise State,,0,0,2019,13,301,447,3705,30,7
Drew Lock,QB,Missouri,2,2,1,2019,13,275,437,3498,28,8
Jake Browning,QB,Washington,,0,0,2019,14,252,388,3192,16,10
Clayton Thorson,QB,Northwestern,5,5,1,2019,14,299,489,3183,17,15
Tyree Jackson,QB,Buffalo,,0,0,2019,14,225,407,3131,28,12
Kyle Shurmur,QB,Vanderbilt,,0,0,2019,13,254,406,3130,24,6
Jarrett Stidham,QB,Auburn,4,4,1,2019,13,224,369,2794,18,5
Daniel Jones,QB,Duke,1,1,1,2019,11,237,392,2674,22,9
Trace McSorley,QB,Penn State,6,6,1,2019,13,192,361,2530,18,7
Nick Fitzgerald,QB,Mississippi State,,0,0,2019,12,145,281,1767,16,9
Mason Rudolph,QB,Oklahoma State,3,3,1,2018,13,318,489,4904,37,9
Baker Mayfield,QB,Oklahoma,1,1,1,2018,14,285,404,4627,43,6
Riley Ferguson,QB,Memphis,,0,0,2018,13,299,474,4257,38,9
Mike White,QB,Western Kentucky,5,5,1,2018,13,368,560,4177,26,8
Sam Darnold,QB,USC,1,1,1,2018,14,303,480,4143,26,13
Nic Shimonek,QB,Texas Tech,,0,0,2018,13,328,493,3963,33,10
Logan Woodside,QB,Toledo,7,7,1,2018,14,264,411,3882,28,8
Josh Rosen,QB,UCLA,1,1,1,2018,11,283,452,3756,26,10
Lamar Jackson,QB,Louisville,1,1,1,2018,13,254,430,3660,27,10
Luke Falk,QB,Washington State,6,6,1,2018,12,357,534,3593,30,13
Kurt Benkert,QB,Virginia,,0,0,2018,13,298,509,3207,25,9
Tanner Lee,QB,Nebraska,6,6,1,2018,12,246,428,3143,23,16
Chase Litton,QB,Marshall,,0,0,2018,13,266,443,3115,25,14
J.T. Barrett,QB,Ohio State,,0,0,2018,14,240,371,3053,35,9
Quinton Flowers,QB,South Florida,,0,0,2018,12,188,354,2911,25,6
Danny Etling,QB,LSU,7,7,1,2018,13,165,275,2463,16,2
Josh Allen,QB,Wyoming,1,1,1,2018,11,152,270,1812,16,6
Austin Allen,QB,Arkansas,,0,0,2018,8,105,187,1427,10,5
Patrick Mahomes,QB,Texas Tech,1,1,1,2017,12,388,591,5052,41,10
Deshaun Watson,QB,Clemson,1,1,1,2017,15,388,579,4593,41,17
Davis Webb,QB,California,3,3,1,2017,12,382,620,4295,37,12
Jerod Evans,QB,Virginia Tech,,0,0,2017,14,268,422,3552,29,8
Cooper Rush,QB,Central Michigan,,0,0,2017,13,278,465,3540,23,16
Brad Kaaya,QB,Miami (FL),6,6,1,2017,13,261,421,3532,27,7
Joshua Dobbs,QB,Tennessee,4,4,1,2017,13,225,357,2946,27,12
DeShone Kizer,QB,Notre Dame,2,2,1,2017,12,212,361,2925,26,9
Nathan Peterman,QB,Pittsburgh,5,5,1,2017,13,185,306,2855,27,7
Trevor Knight,QB,Texas A&M,,0,0,2017,11,193,362,2432,19,7
Sefo Liufau,QB,Colorado,,0,0,2017,12,200,319,2366,11,6
Mitch Leidner,QB,Minnesota,,0,0,2017,12,173,307,2169,8,12
Seth Russell,QB,Baylor,,0,0,2017,9,152,278,2126,20,8
C.J. Beathard,QB,Iowa,3,3,1,2017,13,170,301,1929,17,10
Brandon Doughty,QB,Western Kentucky,7,7,1,2016,14,388,540,5055,48,9
Jared Goff,QB,California,1,1,1,2016,13,341,529,4719,43,13
Jeff Driskel,QB,Louisiana Tech,6,6,1,2016,13,281,450,4033,27,8
Dak Prescott,QB,Mississippi State,4,4,1,2016,13,316,477,3793,29,5
Paxton Lynch,QB,Memphis,1,1,1,2016,13,296,443,3776,28,4
Trevone Boykin,QB,TCU,,0,0,2016,11,257,396,3575,31,10
Nate Sudfeld,QB,Indiana,6,6,1,2016,12,247,412,3573,27,7
Cody Kessler,QB,USC,3,3,1,2016,14,298,446,3536,29,7
Brandon Allen,QB,Arkansas,6,6,1,2016,13,244,370,3440,30,8
Connor Cook,QB,Michigan State,4,4,1,2016,13,229,408,3131,24,7
Kevin Hogan,QB,Stanford,5,5,1,2016,14,206,304,2867,27,8
Joel Stave,QB,Wisconsin,,0,0,2016,13,225,370,2687,11,11
Jacoby Brissett,QB,North Carolina State,3,3,1,2016,13,237,395,2662,20,6
Vernon Adams,QB,Oregon,,0,0,2016,10,168,259,2643,26,6
Christian Hackenberg,QB,Penn State,2,2,1,2016,13,192,359,2525,16,6
Cardale Jones,QB,Ohio State,4,4,1,2016,10,110,176,1460,8,5
