player,EScore,EType,PlayStyle,SessionVariance,RecentActivityRatio,Loyalty,UserValue,EScoreRank
1002876,45.45,Core,Balance,38.83,0.42,34.37,Medium,568
1002714,45.44,Core,Balance,57.19,0.54,46.61,High,569
1002199,45.43,Core,Balance,43.5,0.57,38.98,Medium,570
1002727,45.37,Core,Burst,27.66,0.42,20.06,Low,571
1002476,45.36,Core,Balance,30.04,0.54,29.26,Medium,572
1002886,45.35,Core,Balance,36.57,0.50,29.36,Medium,573
1002865,45.34,Core,Balance,41.15,0.42,26.39,Low,574
1002711,45.32,Core,Balance,35.08,0.44,22.15,Low,575
1002921,45.31,Core,Balance,27.89,0.53,24.02,Low,576
1002956,45.31,Core,Balance,41.78,0.55,48.91,High,577
1002174,45.29,Core,Burst,22.97,0.44,13.22,Low,578
1002046,45.29,Core,Balance,31.5,0.54,32.96,Medium,579
1002479,45.25,Core,Balance,44.98,0.45,26.21,Low,580
1002039,45.22,Core,Balance,25.65,0.47,23.72,Low,581
1002173,45.22,Core,Balance,29.04,0.44,23.77,Low,582
1002455,45.21,Core,Balance,59.08,0.56,44.54,High,583
1002339,45.21,Core,Balance,33.26,0.44,28.03,Low,584
1002855,45.18,Core,Balance,45.29,0.40,32.97,Medium,585
1002113,45.15,Core,Burst,29.34,0.58,16.57,Low,586
1002799,45.14,Core,Balance,18.39,0.50,22.40,Low,587
1002778,45.13,Core,Balance,47.6,0.58,48.17,High,588
1002272,45.11,Core,Burst,24.22,0.50,16.91,Low,589
1002171,45.08,Core,Balance,27.07,0.45,30.98,Medium,590
1002530,45.06,Core,Balance,27,0.48,23.24,Low,591
1002219,45.05,Core,Balance,38.32,0.45,32.02,Medium,592
1002491,45.01,Core,Balance,18.51,0.52,19.24,Low,593
1002774,45.00,Core,Balance,25.1,0.45,22.57,Low,594
1002683,44.99,Core,Balance,30.79,0.50,27.25,Low,595
1002569,44.98,Core,Balance,41,0.50,32.39,Medium,596
1002980,44.97,Core,Balance,35.2,0.56,22.61,Low,597
1002345,44.94,Core,Balance,36.29,0.50,52.70,High,598
1002026,44.93,Core,Balance,34.76,0.50,29.13,Medium,599
1002473,44.89,Core,Burst,20.59,0.47,18.58,Low,600
1002412,44.88,Core,Burst,14.45,0.53,19.03,Low,601
1002811,44.88,Core,Burst,21.37,0.33,18.45,Low,602
1002961,44.86,Core,Balance,47.92,0.50,28.48,Low,603
1002438,44.82,Core,Balance,39.62,0.50,44.27,Medium,604
1002198,44.80,Core,Balance,49.94,0.57,45.87,High,605
1002694,44.76,Core,Balance,25.82,0.44,25.01,Low,606
1002423,44.75,Core,Burst,26.78,0.56,17.84,Low,607
1002056,44.75,Core,Balance,48.35,0.58,27.02,Low,607
1002679,44.75,Core,Balance,46.23,0.46,33.50,Medium,609
1002356,44.73,Core,Balance,36.84,0.56,49.41,High,610
1002371,44.71,Core,Balance,60.39,0.63,40.57,Medium,611
1002610,44.68,Core,Balance,35.37,0.50,31.06,Medium,612
1002848,44.66,Core,Burst,23.69,0.50,16.98,Low,613
1002598,44.63,Core,Balance,32.42,0.53,26.13,Low,614
1002923,44.63,Core,Balance,26.7,0.45,31.27,Medium,615
1002912,44.57,Core,Balance,24.4,0.53,27.29,Low,616
1002938,44.55,Core,Balance,30.81,0.53,26.20,Low,617
1002826,44.53,Core,Balance,23.53,0.52,21.30,Low,618
1002257,44.45,Core,Burst,24.93,0.53,17.16,Low,619
1002196,44.42,Core,Balance,30.48,0.47,20.71,Low,620
1002636,44.40,Core,Balance,18.26,0.55,19.66,Low,621
1002869,44.40,Core,Balance,37.14,0.56,46.14,High,622
1002261,44.37,Core,Balance,44.31,0.40,20.35,Low,623
1002306,44.36,Core,Balance,24.71,0.50,31.07,Medium,624
1002830,44.31,Core,Balance,22.64,0.39,23.57,Low,625
1002884,44.27,Core,Balance,69.97,0.57,35.50,Medium,626
1002138,44.26,Core,Balance,59.69,0.50,46.04,High,627
1002777,44.20,Core,Balance,20.53,0.54,19.39,Low,628
1002767,44.18,Core,Balance,18.73,0.54,19.53,Low,629
1002100,44.18,Core,Balance,31.36,0.50,24.17,Low,630
1002213,44.10,Core,Balance,36.59,0.50,49.81,High,631
1002391,44.07,Core,Burst,22.14,0.50,18.07,Low,632
1002362,44.06,Core,Burst,26.05,0.43,18.11,Low,633
1002176,44.05,Core,Balance,37.18,0.50,32.79,Medium,634
1002952,44.03,Core,Balance,49.82,0.33,37.06,Medium,635
1002634,44.01,Core,Burst,24.9,0.43,15.57,Low,636
1002544,44.00,Core,Balance,22.46,0.43,19.68,Low,637
1002931,43.98,Core,Balance,33.61,0.50,31.17,Medium,638
1002991,43.97,Core,Balance,31.57,0.40,48.58,High,639
1002033,43.96,Core,Balance,25.82,0.50,24.18,Low,640
1002227,43.95,Core,Balance,26.53,0.58,29.61,Medium,641
1002839,43.92,Core,Balance,40.51,0.50,28.50,Low,642
1002503,43.92,Core,Balance,41.13,0.50,30.48,Medium,642
1002263,43.89,Core,Balance,26.36,0.47,21.11,Low,644
1002152,43.89,Core,Burst,21.39,0.53,16.40,Low,644
1002428,43.88,Core,Burst,7.91,0.50,17.22,Low,646
1002759,43.86,Core,Balance,32.5,0.42,32.44,Medium,647
